ajbh,zjqkje,zjshje,zjzxqke,zjyhlx,ywy0,PromisedJe,hsl,age,gender
160105F-08435,0.00531763866334,0.0,0.00531763866334,0.0,zz21,0.0,0.0,0.111111111111,0.5
150505Q-01801,0.0691256335856,0.0,0.0690648879252,0.0,suz01,0.0,0.0,0.462962962963,0.0
150505Q-01814,0.0369637039759,0.0,0.0369637039759,0.0,suz01,0.0,0.0,0.462962962963,0.5
150505Q-01822,0.00305864726837,0.0,0.00305864726837,0.0,suz01,0.0,0.0,0.222222222222,0.0
150505Q-01882,0.0370549864797,0.0,0.0370549864797,0.0,suz01,0.0,0.0,0.407407407407,0.5
151008D-08929,0.00541364717959,0.0,0.00541364717959,0.0,zz21,0.0,0.0,0.240740740741,0.5
150505Q-01935,0.121119569492,0.000522193211488,0.121058823832,0.0,suz10,0.0,0.000501534645863,0.5,0.5
150505Q-02039,0.139748100989,0.0,0.139748100989,0.0,suz10,0.0,0.0,0.296296296296,0.5
151008D-08957,0.0126789010573,0.0,0.0126789010573,0.0,zz19,0.0,0.0,0.185185185185,0.5
150505Q-02098,0.204433858555,0.0,0.204433858555,0.0,suz10,0.0,0.0,0.222222222222,0.5
150505Q-02146,0.0195965925645,0.0,0.0195965925645,0.0,fz11,0.0,0.0,0.555555555556,0.5
151008D-09003,0.00438228305919,0.0313315926893,0.000737543435653,0.0,zz19,0.0,0.831698814136,0.166666666667,0.5
151008D-09054,0.000626099447097,0.0,0.000626099447097,0.0,zz14,0.0,0.0,0.481481481481,0.5
151008D-00708,0.0068777512355,0.0,0.0068777512355,0.0,sjz07,0.0,0.0,0.240740740741,0.0
151008D-00744,0.00237895799968,0.0,0.00237895799968,0.0,sjz21,0.0,0.0,0.462962962963,0.5
151008D-00808,0.0157015990439,0.0,0.0157015990439,0.0,sjz21,0.0,0.0,0.351851851852,0.5
150406B-01988,0.0441035848851,0.0,0.0441035848851,0.0,fz04,0.0,0.0,0.481481481481,0.5
151008D-00829,0.00778727171029,0.0,0.00778727171029,0.0,sjz21,0.0,0.0,0.407407407407,0.5
150406B-02002,0.0046445949699,0.0,0.0046445949699,0.0,fz04,0.0,0.0,0.277777777778,0.5
150406B-02008,0.00211592929018,0.0,0.00211592929018,0.0,fz04,0.0,0.0,0.166666666667,0.5
150406B-02087,0.311620135177,0.0,0.311620135177,0.0,fz05,0.0,0.0,0.351851851852,0.5
